Human1,Human1,SCOPE,META_M,RTRVL,BART
well-seasoned superhero,Superman,superhero,son to me,------,son
an impatient storm reaching to be a hurricane,dreary prison,living hell,prison in this country,i hate,prison
fortified steel,bulletproof steel,mechanical skeleton,virus,mountain be high valley,rock
valiant knight,knight in shining armor,knight,hero,mountain be high valley,chivalrous friend
daisy in a field of sunflowers,diamond in the rough,different person,god to them,every snowflake,child to your father
refined battle plan,predestination,conscious act,dream,wood furniture,dream
drunken bat swings at a dart board,unfounded teenage rumors,reverse timeline,child's,antique map,real person
ghost's treasure,an enticing secret,treasure,treasure,genetics,secret treasure
polished diamonds these days,priceless rubies,luxury item,good deal,diamond,bullet
sacred burning flame,hearth,flame,lighthouse,flower,"lighthouse, forever"
